Iteration				Integer Solution(theta(x))			L(delta)			Integral Gap
       476			     179.635095  				       257.661690337   			78.0265953368
       477			     179.635095  				       257.658840776   			78.0237457763
       478			     179.635095  				       257.655993349   			78.0208983492
       479			     179.635095  				       257.653148047   			78.0180530475
       480			     179.635095  				       257.650304863   			78.0152098629
       481			     179.635095  				       257.647463787   			78.0123687873
       482			     179.635095  				       257.644624812   			78.0095298125
       483			     179.635095  				        257.64178793   			78.0066929302
       484			     179.635095  				       257.638953132   			78.0038581323
       485			     179.635095  				       257.636120411   			78.0010254106
       486			     179.635095  				       257.633289757   			77.998194757
       487			     179.635095  				       257.630461164   			77.9953661637
       488			     179.635095  				       257.627634623   			77.992539623
       489			     179.635095  				       257.624810128   			77.9897151276
       490			     179.635095  				       257.621987671   			77.9868926706
       491			     179.635095  				       257.619167246   			77.9840722458
       492			     179.635095  				       257.616348847   			77.9812538474
       493			     179.635095  				       257.613532471   			77.9784374706
       494			     179.635095  				       257.610718111   			77.9756231114
       495			     179.635095  				       257.607905767   			77.972810767
       496			     179.635095  				       257.605095435   			77.9700004354
       497			     179.635095  				       257.602287116   			77.9671921158
       498			     179.635095  				       257.599480809   			77.9643858086
       499			     179.635095  				       257.596676515   			77.9615815153
       500			     179.635095  				       257.593874238   			77.9587792382
       501			     179.635095  				       257.591073981   			77.9559789808
       502			     179.635095  				       257.588275747   			77.9531807469
       503			     179.635095  				       257.585479541   			77.9503845412
       504			     179.635095  				       257.582685368   			77.9475903684
       505			     179.635095  				       257.579893234   			77.9447982335
       506			     179.635095  				       257.577103141   			77.9420081412
       507			     179.635095  				       257.574315096   			77.9392200959
       508			     179.635095  				       257.571529102   			77.9364341015
       509			     179.635095  				       257.568745161   			77.9336501612
       510			     179.635095  				       257.565963277   			77.9308682775
       511			     179.635095  				       257.563183452   			77.928088452
       512			     179.635095  				       257.560405686   			77.9253106856
       513			     179.635095  				       257.557629978   			77.9225349784
       514			     179.635095  				        257.55485633   			77.9197613299
       515			     179.635095  				       257.552084739   			77.9169897392
       516			     179.635095  				       257.549315205   			77.9142202046
       517			     179.635095  				       257.546547725   			77.9114527247
       518			     179.635095  				       257.543782298   			77.9086872977
       519			     179.635095  				       257.541018922   			77.905923922
       520			     179.635095  				       257.538257596   			77.9031625961
       521			     179.635095  				       257.535498319   			77.9004033191
       522			     179.635095  				        257.53274109   			77.8976460902
       523			     179.635095  				       257.529985909   			77.8948909091
       524			     179.635095  				       257.527232776   			77.8921377763
       525			     179.635095  				       257.524481692   			77.8893866922
       526			     179.635095  				       257.521732658   			77.8866376581
       527			     179.635095  				       257.518985676   			77.8838906755
       528			     179.635095  				       257.516240746   			77.8811457461
       529			     179.635095  				       257.513497872   			77.878402872
       530			     179.635095  				       257.510757055   			77.8756620552
       531			     179.635095  				       257.508018298   			77.872923298
       532			     179.635095  				       257.505281603   			77.8701866025
       533			     179.635095  				       257.502546971   			77.8674519709
       534			     179.635095  				       257.499814405   			77.8647194051
       535			     179.635095  				       257.497083907   			77.8619889071
       536			     179.635095  				       257.494355478   			77.8592604784
       537			     179.635095  				       257.491629121   			77.8565341206
       538			     179.635095  				       257.488904835   			77.8538098349
       539			     179.635095  				       257.486182622   			77.8510876225
       540			     179.635095  				       257.483462484   			77.8483674841
       541			     179.635095  				       257.480744421   			77.8456494207
       542			     179.635095  				       257.478028433   			77.8429334328
       543			     179.635095  				       257.475314521   			77.8402195208
       544			     179.635095  				       257.472602685   			77.8375076852
       545			     179.635095  				       257.469892926   			77.834797926
       546			     179.635095  				       257.467185244   			77.8320902436
       547			     179.635095  				       257.464479638   			77.829384638
       548			     179.635095  				       257.461776109   			77.8266811091
       549			     179.635095  				       257.459074657   			77.823979657
       550			     179.635095  				       257.456375282   			77.8212802816
       551			     179.635095  				       257.453677983   			77.8185829826
       552			     179.635095  				        257.45098276   			77.81588776
       553			     179.635095  				       257.448289614   			77.8131946135
       554			     179.635095  				       257.445598543   			77.8105035429
       555			     179.635095  				       257.442909548   			77.807814548
       556			     179.635095  				       257.440222629   			77.8051276285
       557			     179.635095  				       257.437537785   			77.8024427846
